"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" с ежу ― ,мокиратс месвос ― ,уме олабодоп";"йоксот";"подобало ему, ― совсем стариком, ― уже с";"тоской";" ";"и злобой думал обо всех этих";"И. А. Бунин. Господин из Сан-Франциско (1915)";"И. А. Бунин";"1870";"Господин из Сан-Франциско";"1915";"художественная";"рассказ";"";"И. А. Бунин. Стихотворения. Рассказы. Повести";"1973";"книга";"омонимия снята";"И господин из Сан-Франциско, чувствуя себя так, как и подобало ему, ― совсем стариком, ― уже с тоской и злобой думал обо всех этих жадных, воняющих чесноком людишках, называемых итальянцами; раз во время остановки, открыв глаза и приподнявшись с дивана, он увидел под скалистым отвесом кучу таких жалких, насквозь проплесневевших каменных домишек, налепленных друг на друга у самой воды, возле лодок, возле каких-то тряпок, жестянок и коричневых сетей, что, вспомнив, что это и есть подлинная Италия, которой он приехал наслаждаться, почувствовал отчаяние…"
" алажс гурдв ёе ецдрес :утуним утэ";"аксот";"эту минуту: сердце её вдруг сжала";"тоска";", ";"чувство страшного одиночества на этом чужом";"И. А. Бунин. Господин из Сан-Франциско (1915)";"И. А. Бунин";"1870";"Господин из Сан-Франциско";"1915";"художественная";"рассказ";"";"И. А. Бунин. Стихотворения. Рассказы. Повести";"1973";"книга";"омонимия снята";"Дочь, однако, с тревогой взглянула на него в эту минуту: сердце её вдруг сжала тоска, чувство страшного одиночества на этом чужом, тёмном острове…"
" ьтисонереп тедуб ечгел ман ,мёовдв ,етсемв";"уксот";"вместе, вдвоём, нам легче будет переносить";"тоску";". ";"";"Л. А. Чарская. Галина правда (1912)";"Л. А. Чарская";"1875";"Галина правда";"1912";"художественная";"сказка";"";"Л. А. Чарская. Сказки голубой феи";"1992";"книга";"омонимия снята";"Каждому из нас тяжело и грустно в одиночестве, а вместе, вдвоём, нам легче будет переносить тоску."
" ";"аксоТ";"";"Тоска";" ";"ножом резала сердце, и слёзы лились";"А. Ф. Кони. Иван Александрович Гончаров (1911)";"А. Ф. Кони";"1844";"Иван Александрович Гончаров";"1911";"нехудожественная | публицистика";"очерк";"искусство и культура";"";"";"книга";"омонимия снята";"Тоска ножом резала сердце, и слёзы лились в то время, когда всё ещё не хотелось верить, что его уже нет, что Пушкина нет!"
" то итйу омидохбоен ,онжун теавыб укеволеЧ";"иксот";"Человеку бывает нужно, необходимо уйти от";"тоски";" ";"одиночества, от края мрачной пропасти глубокого";"А. Ф. Кони. Иван Александрович Гончаров (1911)";"А. Ф. Кони";"1844";"Иван Александрович Гончаров";"1911";"нехудожественная | публицистика";"очерк";"искусство и культура";"";"";"книга";"омонимия снята";"Человеку бывает нужно, необходимо уйти от тоски одиночества, от края мрачной пропасти глубокого разочарования в людях и в самом себе в какую-либо привязанность."
" с рёлортнок йынтелиб ,лидоху я адгоК";"йоксот";"Когда я уходил, билетный контролёр с";"тоской";" ";"посмотрел на меня и печально спросил:";"А. Т. Аверченко. Ихневмоны (1910-1911)";"А. Т. Аверченко";"1881";"Ихневмоны";"1910 | 1911";"художественная";"рассказ";"";"«Аркадий Аверченко. Собрание сочинений в 6 томах. Том 1. «Веселые устрицы»";"2000";"книга";"омонимия снята";"Когда я уходил, билетный контролёр с тоской посмотрел на меня и печально спросил:"
" с ыв и мытслоТ еоннасипан в";"юоксот";"в написанное Толстым и вы с";"тоскою";" ";"заметите, что как раз эти-то";"И. Ф. Анненский. Вторая книга отражений (1909)";"И. Ф. Анненский";"1855";"Вторая книга отражений";"1909";"нехудожественная | публицистика";"очерк | цикл";"искусство и культура";"«Серия «Литературные памятники». Иннокентий Ф.Анненский";"1979";"книга";"омонимия снята";"Вглядитесь пристальнее в написанное Толстым и вы с тоскою заметите, что как раз эти-то особо обаятельные для нас страницы своей красотой наиболее разуверяют человека в возможности сохранить свою особость, свою мысль ― быть собою, пусть может быть миражным, но единым и несоизмеримым."
" йоксвелогог ёще тен хин В ";"иксот";"В них нет ещё гоголевской";"тоски";", ";"Лермонтов не знает ни его стыдно";"И. Ф. Анненский. Вторая книга отражений (1909)";"И. Ф. Анненский";"1855";"Вторая книга отражений";"1909";"нехудожественная | публицистика";"очерк | цикл";"искусство и культура";"«Серия «Литературные памятники». Иннокентий Ф.Анненский";"1979";"книга";"омонимия снята";"В них нет ещё гоголевской тоски, Лермонтов не знает ни его стыдно, ни его страшно, ни его скучно."
" ";"аксоТ";"";"Тоска";" ";"и стихийность Иуды слишком понятны и";"И. Ф. Анненский. Вторая книга отражений (1909)";"И. Ф. Анненский";"1855";"Вторая книга отражений";"1909";"нехудожественная | публицистика";"очерк | цикл";"искусство и культура";"«Серия «Литературные памятники». Иннокентий Ф.Анненский";"1979";"книга";"омонимия снята";"Тоска и стихийность Иуды слишком понятны и близки нам, чтобы искать их на Мёртвом море, а силу для жизни он черпал не из обетования, а лишь из своей, т. е. нашей же, бог весть откуда налетевшей мечты, уродливо повлёкшей за собою у Иуды предательство."
" и мосажу еыннеришсар окьлот юен аз";"юоксот";"за нею только расширенные ужасом и";"тоскою";" ";"глаза больного.";"И. Ф. Анненский. Вторая книга отражений (1909)";"И. Ф. Анненский";"1855";"Вторая книга отражений";"1909";"нехудожественная | публицистика";"очерк | цикл";"искусство и культура";"«Серия «Литературные памятники». Иннокентий Ф.Анненский";"1979";"книга";"омонимия снята";"Но если вы пристальнее вглядитесь в эту блестящую вереницу призраков, то различите за нею только расширенные ужасом и тоскою глаза больного."
" то ястеахыдаз лидбоаБ ";"иксот";"Баобдил задыхается от";"тоски";". ";"";"И. Ф. Анненский. Вторая книга отражений (1909)";"И. Ф. Анненский";"1855";"Вторая книга отражений";"1909";"нехудожественная | публицистика";"очерк | цикл";"искусство и культура";"«Серия «Литературные памятники». Иннокентий Ф.Анненский";"1979";"книга";"омонимия снята";"Взъехав на высоту, откуда в последний раз открывается вид на долину Дуэро, царь прощается с Гренадой, которая при закатных лучах кажется ему разубранной в золото и пурпур.  Баобдил задыхается от тоски.  Рыдание разрывает ему углы рта, который точно хочет унести отсюда весь воздух родины."
" яакат И ";"аксот";"И такая";"тоска";" ";"на неё нашла, свету она невзвидела";"А. М. Ремизов. Зайчик Иваныч (1906)";"А. М. Ремизов";"1877";"Зайчик Иваныч";"1906";"художественная";"сказка";"";"Ремизов А.М. Сочинения: В 2 кн. Кн. 1.";"1993";"книга";"омонимия снята";"И такая тоска на неё нашла, свету она невзвидела, пошла бродить по терему."
" то ходзи ьдевдеМ ,ебен ан яслимыдаз";"иксот";"задымился на небе, Медведь издох от";"тоски";". ";"";"А. М. Ремизов. Зайчик Иваныч (1906)";"А. М. Ремизов";"1877";"Зайчик Иваныч";"1906";"художественная";"сказка";"";"Ремизов А.М. Сочинения: В 2 кн. Кн. 1.";"1993";"книга";"омонимия снята";"А чуть только свет задымился на небе, Медведь издох от тоски."
" ушуд илянлопан ,ишу в илачирк овилйозан";"йоксот";"назойливо кричали в уши, наполняли душу";"тоской";" ";"и страхом.";"М. П. Арцыбашев. Жена (1905)";"М. П. Арцыбашев";"1878";"Жена";"1905";"художественная";"рассказ";"";"Арцыбашев М. Собрание сочинений в трех томах. Т. 1.";"1994";"книга";"омонимия снята";"И, где бы я ни был, что бы ни делал, мелочи неотступно шли теперь за мной, напоминали о себе каждую минуту, назойливо кричали в уши, наполняли душу тоской и страхом."
" йохулг с и ,енавид моннижурп мокгям";"йоксот";"мягком пружинном диване, и с глухой";"тоской";" ";"и злобой вспоминалось, как постоянно и";"Л. Н. Андреев. Вор (1904)";"Л. Н. Андреев";"1871";"Вор";"1904";"художественная";"рассказ";"";"";"";"книга";"омонимия снята";"И тогда все люди в вагоне показались Юрасову злыми и чуждыми, и странно стало, что он сидит во II классе на мягком пружинном диване, и с глухой тоской и злобой вспоминалось, как постоянно и всюду среди порядочных людей он встречал эту иногда затаённую, а часто открытую, прямую вражду."
" юомодевен ьсалунгордос ,автснартсорп огонсебен ьриш юукновз";"юоксот";"звонкую ширь небесного пространства, содрогнулась неведомою";"тоскою";" ";"и зовёт кого-то: приди.";"Л. Н. Андреев. Вор (1904)";"Л. Н. Андреев";"1871";"Вор";"1904";"художественная";"рассказ";"";"";"";"книга";"омонимия снята";"Он пел, провожая солнце, и всё грустнее становилась его песня: как будто почувствовала птица звонкую ширь небесного пространства, содрогнулась неведомою тоскою и зовёт кого-то: приди."
" с но тировог ― !nodraP ― ";"юоксот";"― Pardon! ― говорит он с";"тоскою";". ― ";"Pardon.";"Л. Н. Андреев. Вор (1904)";"Л. Н. Андреев";"1871";"Вор";"1904";"художественная";"рассказ";"";"";"";"книга";"омонимия снята";"Ветер колышет занавеску, отбрасывает назад колечки волос, и Юрасову кажется, что ветер пахнет какими-то тяжёлыми, искусственными, городскими духами.  ― Pardon! ― говорит он с тоскою. ― Pardon.  Мужчины медленно и неохотно расступаются, оглядывая недружелюбно Юрасова; дама в окошке не слышит, и другая смешливая дама долго трогает её за круглое, обтянутое плечо."
" ан ясмеулаж ,меувтсфосолиф окьлот ым ,умолшорп";"уксот";"прошлому, мы только философствуем, жалуемся на";"тоску";" ";"или пьём водку.";"А. П. Чехов. Вишневый сад (1904)";"А. П. Чехов";"1860";"Вишневый сад";"1904";"художественная";"пьеса";"";"А.П. Чехов. Полное собрание сочинений и писем";"1974";"книга";"омонимия снята";"Мы отстали по крайней мере лет на двести, у нас нет ещё ровно ничего, нет определённого отношения к прошлому, мы только философствуем, жалуемся на тоску или пьём водку."
" йоннёатаз мохудзов тишыд ёсВ ";"иксот";"Всё дышит воздухом затаённой";"тоски";" ";"и ""суеверного страха"", ледяной волной прокатывающегося";"Л. Д. Троцкий. О Леониде Андрееве (1902)";"Л. Д. Троцкий";"1879";"О Леониде Андрееве";"1902";"нехудожественная | публицистика";"рецензия";"искусство и культура";"Л.Д. Троцкий. Культура старого мира";"1926";"книга";"омонимия снята";"Всё дышит воздухом затаённой тоски и ""суеверного страха"", ледяной волной прокатывающегося по дому."
" йоньлетичум огонлоп ,адялгзв оге меиняилв доп";"иксот";"под влиянием его взгляда, полного мучительной";"тоски";", ― ";"всё то, что лежало в глубине";"В. Г. Короленко. Мороз (1900-1901)";"В. Г. Короленко";"1853";"Мороз";"1900 | 1901";"художественная";"рассказ";"";"В.Г. Короленко. Собрание сочинений в десяти томах. Том 1. Повести и рассказы";"1953";"книга";"омонимия снята";"Я сержусь на него, но потом вижу, что это уже не ямщик, а Игнатович, и что под влиянием его взгляда, полного мучительной тоски, ― всё то, что лежало в глубине моей памяти бесцветными холодными льдинками, вдруг растаяло…"
" с я лункирк ― ,етйотсоП ― ";"йоксот";"― Постойте, ― крикнул я с";"тоской";". ";"";"В. Г. Короленко. Мороз (1900-1901)";"В. Г. Короленко";"1853";"Мороз";"1900 | 1901";"художественная";"рассказ";"";"В.Г. Короленко. Собрание сочинений в десяти томах. Том 1. Повести и рассказы";"1953";"книга";"омонимия снята";"Теплина была, так, может, господь упасёт…  ― Постойте, ― крикнул я с тоской.  ― Нельзя же этак…"
" ясьтилевеш охулг аланичан ,яром енд ан";"аксот";"на дне моря, начинала глухо шевелиться";"тоска";", ";"неясная и тупая.";"В. Г. Короленко. Мгновение (1900)";"В. Г. Короленко";"1853";"Мгновение";"1900";"художественная";"рассказ";"";"В.Г. Короленко. Собрание сочинений. Том 2. Повести и рассказы.";"1954";"книга";"омонимия снята";"Только когда поднимался восточный ветер, особенно сильный в этих местах, и волны начинали шевелить камнями на откосе маленького острова, ― в глубине его души, как эти камни на дне моря, начинала глухо шевелиться тоска, неясная и тупая."
" атэ И ";"аксот";"И эта";"тоска";" ";"у него мало-помалу вылилась в определённое";"А. П. Чехов. Крыжовник (1898)";"А. П. Чехов";"1860";"Крыжовник";"1898";"художественная";"рассказ";"";"А.П. Чехов. Полное собрание сочинений и писем";"1974";"книга";"омонимия снята";"И эта тоска у него мало-помалу вылилась в определённое желание, в мечту купить себе маленькую усадебку где-нибудь на берегу реки или озера."
" яаньлис алязв оге ,ащибдалк с яслащарвзов";"аксот";"возвращался с кладбища, его взяла сильная";"тоска";". ";"";"А. П. Чехов. Скрипка Ротшильда (1894)";"А. П. Чехов";"1860";"Скрипка Ротшильда";"1894";"художественная";"рассказ";"";"А.П. Чехов. Полное собрание сочинений и писем";"1974";"книга";"омонимия снята";"Но когда он возвращался с кладбища, его взяла сильная тоска."
" янем аН ";"уксот";"На меня";"тоску";" ";"нагонит, а Соболько, дурак, волком воет.";"Д. Н. Мамин-Сибиряк. Приемыш (1893)";"Д. Н. Мамин-Сибиряк";"1852";"Приемыш";"1893";"художественная";"рассказ";"";"Д.Н. Мамин-Сибиряк. Избранные произведения для детей";"1962";"книга";"омонимия снята";"На меня тоску нагонит, а Соболько, дурак, волком воет."
" автсвуч огещямещ огот ебес ьтинсяъбо ыб";"иксот";"бы объяснить себе того щемящего чувства";"тоски";", ";"которое охватило меня при въезде в";"А. Н. Апухтин. Между жизнью и смертью (1892)";"А. Н. Апухтин";"1840";"Между жизнью и смертью";"1892";"художественная";"рассказ";"";"Русская фантастическая проза XIX - начала XX века";"1991";"книга";"омонимия снята";"На эти вопросы я не мог дать ответа, одно казалось мне несомненным; я был там очень несчастлив; иначе я не мог бы объяснить себе того щемящего чувства тоски, которое охватило меня при въезде в замок, которое томит меня и теперь, когда я вспоминаю о нём."
" умомижредо и едор моксечиротси мондо в";"йоксот";"в одном историческом роде и одержимому";"тоской";" ";"по текущему?";"К. Н. Леонтьев. Достоевский о русском дворянстве (1891)";"К. Н. Леонтьев";"1831";"Достоевский о русском дворянстве";"1891";"нехудожественная | публицистика";"статья";"искусство и культура";"К. Леонтьев. Восток, Россия и Славянство";"1996";"книга";"омонимия снята";"Но что делать, однако ж, писателю, не желающему писать лишь в одном историческом роде и одержимому тоской по текущему?"
" роп хымас хитэ С .ламинирп ен";"аксот";"не принимал. С этих самых пор";"тоска";" ";"и увязалась ко мне. Точно порченый.";"В. Г. Короленко. Чудная (1880)";"В. Г. Короленко";"1853";"Чудная";"1880";"художественная";"очерк";"";"В.Г. Короленко. Собрание сочинений в десяти томах. Том 1. Повести и рассказы";"1953";"книга";"омонимия снята";"Росту он был высокого, с лица сурьезный, да ранее приветливо смотрел, а тут зверем на меня, как есть, глянул. Подал было руку, а потом вдруг руку мою бросил и сам отвернулся. ""Не могу, говорит, я тебя видеть теперь. Уйди, братец, бога ради, уйди!.. ""Опустил голову, да и пошёл, а я на фатеру пришёл, и так меня засосало, ― просто, пищи дня два не принимал. С этих самых пор тоска и увязалась ко мне. Точно порченый."
" в теадапв ,ястечем ,теебалс нО ";"уксот";"Он слабеет, мечется, впадает в";"тоску";" ";"и отчаяние.";"И. А. Гончаров. Опять «Гамлет» на русской сцене (1875)";"И. А. Гончаров";"1812";"Опять «Гамлет» на русской сцене";"1875";"нехудожественная | публицистика";"статья";"искусство и культура | политика и общественная жизнь";"";"";"книга";"омонимия снята";"Он слабеет, мечется, впадает в тоску и отчаяние."
" :алавызакс мав жу я а ― ,мосолог";"аксот";"голосом, ― а я уж вам сказывала:";"тоска";" ";"меня взяла.";"И. С. Тургенев. Конец Чертопханова (1872)";"И. С. Тургенев";"1818";"Конец Чертопханова";"1872";"художественная";"повесть";"";"";"";"книга";"омонимия снята";"― Никакой измены у меня в мыслях нету и не было, ― проговорила Маша своим певучим и чётким голосом, ― а я уж вам сказывала: тоска меня взяла."
" ";"аксоТ";"";"Тоска";" ";"замучит.";"И. С. Тургенев. Конец Чертопханова (1872)";"И. С. Тургенев";"1818";"Конец Чертопханова";"1872";"художественная";"повесть";"";"";"";"книга";"омонимия снята";"― Не могу, ― твердила Маша, ― грустно мне таково…  Тоска замучит.  ― Понемногу её лицо приняло такое равнодушное, почти сонливое выражение, что Чертопханов спросил её, уж не опоили ли её дурманом?"
" ― ";"аксоТ";"―";"Тоска";", ― ";"проговорила она в десятый раз.";"И. С. Тургенев. Конец Чертопханова (1872)";"И. С. Тургенев";"1818";"Конец Чертопханова";"1872";"художественная";"повесть";"";"";"";"книга";"омонимия снята";"― Тоска, ― проговорила она в десятый раз.  ― А ну как я тебя убью? ― крикнул он вдруг и выхватил пистолет из кармана."
" ьсалеваз илоК ";"аксот";"Коли завелась";"тоска";"-";"разлучница, отзывает душеньку во чужедальню сторонушку";"И. С. Тургенев. Конец Чертопханова (1872)";"И. С. Тургенев";"1818";"Конец Чертопханова";"1872";"художественная";"повесть";"";"";"";"книга";"омонимия снята";"Коли завелась тоска-разлучница, отзывает душеньку во чужедальню сторонушку ― где уж тут оставаться?"
" яанневтсетсе и яантяноп амьсев ьсалажарыв ,моволс";"аксот";"словом, выражалась весьма понятная и естественная";"тоска";" ";"молодой и интересной жены о погибшем";"Ф. М. Достоевский. Крокодил (1865)";"Ф. М. Достоевский";"1821";"Крокодил";"1865";"художественная";"рассказ";"";"Большая хрестоматия. Русская литература XIX века";"2003";"книга";"омонимия снята";"Одним словом, выражалась весьма понятная и естественная тоска молодой и интересной жены о погибшем муже."
" то я ;ясьтавед енм адуК ";"иксот";"Куда мне деваться; я от";"тоски";" ";"что-нибудь сделаю над собой!";"А. Н. Островский. Гроза (1860)";"А. Н. Островский";"1823";"Гроза";"1860";"художественная";"пьеса";"";"А.Н. Островский. Полное собрание сочинений";"1951";"книга";"омонимия снята";"Куда мне деваться; я от тоски что-нибудь сделаю над собой!"
" с йариму ьтоХ ";"иксот";"Хоть умирай с";"тоски";", ";"пожалеют, что ль, тебя!";"А. Н. Островский. Гроза (1860)";"А. Н. Островский";"1823";"Гроза";"1860";"художественная";"пьеса";"";"А.Н. Островский. Полное собрание сочинений";"1951";"книга";"омонимия снята";"Хоть умирай с тоски, пожалеют, что ль, тебя!"
" в тёдйоп И ";"ексот";"И пойдёт в";"тоске";". ";"";"А. Н. Островский. Гроза (1860)";"А. Н. Островский";"1823";"Гроза";"1860";"художественная";"пьеса";"";"А.Н. Островский. Полное собрание сочинений";"1951";"книга";"омонимия снята";"Ему представляется-то, что он за делом бежит; торопится, бедный, людей не узнаёт; ему мерещится, что его манит некто, а придёт на место-то, ан пусто, нет ничего, мечта одна.  И пойдёт в тоске.  А другому мерещится, что будто он догоняет кого-то знакомого."
" с ано ыб каК ";"иксот";"Как бы она с";"тоски";"-";"то на себя руки не наложила!";"А. Н. Островский. Гроза (1860)";"А. Н. Островский";"1823";"Гроза";"1860";"художественная";"пьеса";"";"А.Н. Островский. Полное собрание сочинений";"1951";"книга";"омонимия снята";"Как бы она с тоски-то на себя руки не наложила!"
"-ьлачеп юом уме ыв етисенереп ,еынйуб";"уксот";"буйные, перенесите вы ему мою печаль-";"тоску";"! ";"";"А. Н. Островский. Гроза (1860)";"А. Н. Островский";"1823";"Гроза";"1860";"художественная";"пьеса";"";"А.Н. Островский. Полное собрание сочинений";"1951";"книга";"омонимия снята";"Ветры буйные, перенесите вы ему мою печаль-тоску!"
" с урму я йобот с екулзар";"иксот";"разлуке с тобой я умру с";"тоски";""". ";"";"С. Т. Аксаков. Aленький цветочек (1858)";"С. Т. Аксаков";"1791";"Aленький цветочек";"1858";"художественная";"сказка";"";"С.Т. Аксаков. Семейная хроника. Детские годы Багрова-внука. Аленький цветочек";"1982";"книга";"омонимия снята";"К голосу моему попривыкла ты; мы живём с тобой в дружбе, согласии, друг со другом почитай не разлучаемся, и любишь ты меня за мою любовь к тебе несказанную, а увидя меня страшного и противного, возненавидишь ты меня, несчастного, прогонишь ты меня с глаз долой, а в разлуке с тобой я умру с тоски""."
" ёен ан алапан и ;тижел вородзен";"аксот";"нездоров лежит; и напала на неё";"тоска";" ";"неусыпная, и увидел её в той";"С. Т. Аксаков. Aленький цветочек (1858)";"С. Т. Аксаков";"1791";"Aленький цветочек";"1858";"художественная";"сказка";"";"С.Т. Аксаков. Семейная хроника. Детские годы Багрова-внука. Аленький цветочек";"1982";"книга";"омонимия снята";"Вот однова и привиделось во сне молодой купецкой дочери, красавице писаной, что батюшка её нездоров лежит; и напала на неё тоска неусыпная, и увидел её в той тоске и слезах зверь лесной, чудо морское, и вельми закручинился и стал спрашивать: отчего она во тоске, во слезах?"
" йот в ёе ледиву и ,яанпысуен";"ексот";"неусыпная, и увидел её в той";"тоске";" ";"и слезах зверь лесной, чудо морское";"С. Т. Аксаков. Aленький цветочек (1858)";"С. Т. Аксаков";"1791";"Aленький цветочек";"1858";"художественная";"сказка";"";"С.Т. Аксаков. Семейная хроника. Детские годы Багрова-внука. Аленький цветочек";"1982";"книга";"омонимия снята";"Вот однова и привиделось во сне молодой купецкой дочери, красавице писаной, что батюшка её нездоров лежит; и напала на неё тоска неусыпная, и увидел её в той тоске и слезах зверь лесной, чудо морское, и вельми закручинился и стал спрашивать: отчего она во тоске, во слезах?"
" ов ано огечто :ьтавишарпс латс и";"ексот";"и стал спрашивать: отчего она во";"тоске";", ";"во слезах?";"С. Т. Аксаков. Aленький цветочек (1858)";"С. Т. Аксаков";"1791";"Aленький цветочек";"1858";"художественная";"сказка";"";"С.Т. Аксаков. Семейная хроника. Детские годы Багрова-внука. Аленький цветочек";"1982";"книга";"омонимия снята";"Вот однова и привиделось во сне молодой купецкой дочери, красавице писаной, что батюшка её нездоров лежит; и напала на неё тоска неусыпная, и увидел её в той тоске и слезах зверь лесной, чудо морское, и вельми закручинился и стал спрашивать: отчего она во тоске, во слезах?"
" йонневонкыбоен я яслунгревдоп ,ничирп хикак то";"ексот";"от каких причин, подвергнулся я необыкновенной";"тоске";". ";"";"М. Е. Салтыков-Щедрин. Святочный рассказ (1858)";"М. Е. Салтыков-Щедрин";"1826";"Святочный рассказ";"1858";"художественная";"рассказ";"";"М.Е. Салтыков-Щедрин. История одного города и др.";"1989";"книга";"омонимия снята";"Необходимо, однако, предварительно доложить вашим благородиям, что с самого с Петра и Павла, неизвестно от каких причин, подвергнулся я необыкновенной тоске."
" ьтсе оТ ";"аксот";"То есть";"тоска";" ";"не тоска, а тянет вот, тянет";"М. Е. Салтыков-Щедрин. Святочный рассказ (1858)";"М. Е. Салтыков-Щедрин";"1826";"Святочный рассказ";"1858";"художественная";"рассказ";"";"М.Е. Салтыков-Щедрин. История одного города и др.";"1989";"книга";"омонимия снята";"То есть тоска не тоска, а тянет вот, тянет тебя целый день, да и вся недолга."
" ен аксот ьтсе оТ ";"аксот";"То есть тоска не";"тоска";", ";"а тянет вот, тянет тебя целый";"М. Е. Салтыков-Щедрин. Святочный рассказ (1858)";"М. Е. Салтыков-Щедрин";"1826";"Святочный рассказ";"1858";"художественная";"рассказ";"";"М.Е. Салтыков-Щедрин. История одного города и др.";"1989";"книга";"омонимия снята";"То есть тоска не тоска, а тянет вот, тянет тебя целый день, да и вся недолга."
" еинещущо енм ов ладжубзов яекал-нол див";"иксот";"вид лон-лакея возбуждал во мне ощущение";"тоски";" ";"и злобы; я чуть с ума";"И. С. Тургенев. Ася (1858)";"И. С. Тургенев";"1818";"Ася";"1858";"художественная";"повесть";"";"И.С. Тургенев. Избранное";"1979";"книга";"омонимия снята";"Меня занимали исключительно одни люди; я ненавидел любопытные памятники, замечательные собрания, один вид лон-лакея возбуждал во мне ощущение тоски и злобы; я чуть с ума не сошёл в дрезденском ""Грюне Гевелбе""."
" юунтсартс ешуд в лидубзов и унидор";"уксот";"родину и возбудил в душе страстную";"тоску";" ";"по ней.";"И. С. Тургенев. Ася (1858)";"И. С. Тургенев";"1818";"Ася";"1858";"художественная";"повесть";"";"И.С. Тургенев. Избранное";"1979";"книга";"омонимия снята";"Её степной запах мгновенно напомнил мне родину и возбудил в душе страстную тоску по ней."
" в ёе илагревоп иом иксал ,акдарохил";"уксот";"лихорадка, ласки мои повергали её в";"тоску";", ";"только понемногу, исподволь, привыкла она ко";"И. С. Тургенев. Ася (1858)";"И. С. Тургенев";"1818";"Ася";"1858";"художественная";"повесть";"";"И.С. Тургенев. Избранное";"1979";"книга";"омонимия снята";"В первые дни после смерти отца, при одном звуке моего голоса, её била лихорадка, ласки мои повергали её в тоску, только понемногу, исподволь, привыкла она ко мне."
" в я лацилксов ― ""?алаледс юобос с";"ексот";"с собою сделала?"" ― восклицал я в";"тоске";" ";"бессильного отчаяния…";"И. С. Тургенев. Ася (1858)";"И. С. Тургенев";"1818";"Ася";"1858";"художественная";"повесть";"";"И.С. Тургенев. Избранное";"1979";"книга";"омонимия снята";"""Куда она могла пойти, что она с собою сделала?"" ― восклицал я в тоске бессильного отчаяния…"
" овтсвуч еолёжят омизарывен янем ан алидован";"иксот";"наводила на меня невыразимо тяжёлое чувство";"тоски";" ";"и страха.";"Л. Н. Толстой. Отрочество (1854)";"Л. Н. Толстой";"1828";"Отрочество";"1854";"художественная";"повесть";"";"Л.Н. Толстой. Собрание сочинений";"1958";"книга";"омонимия снята";"Гроза наводила на меня невыразимо тяжёлое чувство тоски и страха."
" автсвуч еынжоверТ ";"иксот";"Тревожные чувства";"тоски";" ";"и страха увеличивались во мне вместе";"Л. Н. Толстой. Отрочество (1854)";"Л. Н. Толстой";"1828";"Отрочество";"1854";"художественная";"повесть";"";"Л.Н. Толстой. Собрание сочинений";"1958";"книга";"омонимия снята";"Тревожные чувства тоски и страха увеличивались во мне вместе с усилением грозы, но когда пришла величественная минута безмолвия, обыкновенно предшествующая разражению грозы, чувства эти дошли до такой степени, что, продолжись это состояние ещё четверть часа, я уверен, что умер бы от волнения."
" йоннёмызеб ясьтимот енищнеж йенжумаз еж оншемс";"йоксот";"смешно же замужней женщине томиться безымённой";"тоской";" ";"и петь по вечерам: «Не буди";"И. С. Тургенев. Гамлет Щигровского уезда (1849)";"И. С. Тургенев";"1818";"Гамлет Щигровского уезда";"1849";"художественная";"рассказ";"";"И.С. Тургенев. Муму Записки охотника: рассказы";"2000";"книга";"омонимия снята";"В жену мою до того въелись все привычки старой девицы ― Бетховен, ночные прогулки, резеда, переписка с друзьями, альбомы и прочее, ― что ко всякому другому образу жизни, особенно к жизни хозяйки дома, она никак привыкнуть не могла; а между тем смешно же замужней женщине томиться безымённой тоской и петь по вечерам: «Не буди ты её на заре»."
" ;екинжодух модолом ,енм ов олидохсиорп отч";"аксот";"что происходило во мне, молодом художнике;";"тоска";" ";"по Анете привела меня в лихорадочное";"А. И. Герцен. Сорока-воровка (1846)";"А. И. Герцен";"1812";"Сорока-воровка";"1846";"художественная";"повесть";"";"А.И. Герцен. Сочинения в 9 томах. Том 1";"1955";"книга";"омонимия снята";"Если вы это испытали, то поймёте, что происходило во мне, молодом художнике; тоска по Анете привела меня в лихорадочное состояние."
" ьтакелвзар ондогу окьлокс гом чивонавИ нёмеС";"уксот";"Семён Иванович мог сколько угодно развлекать";"тоску";" ";"свою, прислушиваясь к близкому шороху в";"Ф. М. Достоевский. Господин Прохарчин (1846)";"Ф. М. Достоевский";"1821";"Господин Прохарчин";"1846";"художественная";"повесть";"";"Большая хрестоматия. Русская литература XIX века";"2003";"книга";"омонимия снята";"Порой наставала в квартире долгая, тоскливая тишина, ― знак, что все жильцы удалялись по должности, и просыпавшийся Семён Иванович мог сколько угодно развлекать тоску свою, прислушиваясь к близкому шороху в кухне, где хлопотала хозяйка, или к мерному отшлёпыванию стоптанных башмаков Авдотьи-работницы по всем комнатам, когда она, охая и кряхтя, прибирала, притирала и приглаживала во всех углах для порядка."
